class,type,name,spellID,omniCDDefault,skillCappedDefaults,OmniBar,OmniBarType,WeakAura,WeakAuraType,castTime,range,cooldown,iconUrl,screenshotUrl,description
DEMONHUNTER,raidDefensive,Darkness,196718,1,1,0,,0,,Instant,0 yards,5 minutes,wow-demon-hunter-darkness.png,wow-demon-hunter-darkness.jpg,Summons darkness around you in an 8 yd radius; granting friendly targets a 15% chance to avoid all damage from an attack. Lasts 8 sec.Chance to avoid damage increased by 100% when not in a raid.
DEMONHUNTER,interrupt,Disrupt,183752,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-demon-hunter-disrupt.png,wow-demon-hunter-disrupt.jpg,Interrupts the enemy's spellcasting and locks them from that school of magic for 3 sec.[Disrupting Fury: Generates 30 Fury on a successful interrupt]
DEMONHUNTER,offensive,Essence Break,258860,0,0,0,,1,Offensives,Instant,10 yards,40 seconds,wow-demon-hunter-essence-break.png,wow-demon-hunter-essence-break.jpg,Slash all enemies in front of you for (282.5% of Attack power) Chaos damage; and increase the damage your Chaos Strike and Blade Dance deal to them by 80% for 4 sec. Deals reduced damage beyond 8 targets.
DEMONHUNTER,offensive,Fel Barrage,258925,0,0,0,,1,Offensives,Instant,0 yards,1.5 minutes,wow-demon-hunter-fel-barrage.png,wow-demon-hunter-fel-barrage.jpg,Unleash a torrent of Fel energy; rapidly consuming Fury to inflict (34.9034% of Attack power) Chaos damage to all enemies within 12 yds; lasting 8 sec or until Fury is depleted. Deals reduced damage beyond 5 targets.
DEMONHUNTER,cc,Fel Eruption,211881,1,1,0,,0,,Instant,20 yards,30 seconds,wow-demon-hunter-fel-eruption.png,wow-demon-hunter-fel-eruption.jpg,Impales the target for (37% of Attack power) Chaos damage and stuns them for 4 sec.
DEMONHUNTER,cc,Imprison,217832,1,1,1,Crowd Control,0,,Instant,20 yards,45 seconds,wow-demon-hunter-imprison.png,wow-demon-hunter-imprison.jpg,Imprisons a demon; beast; or humanoid; incapacitating them for 1 min. Damage will cancel the effect. Limit 1.
DEMONHUNTER,immunity,Netherwalk,196555,1,1,1,Defensives,0,,Instant,0 yards,3 minutes,wow-demon-hunter-netherwalk.png,wow-demon-hunter-netherwalk.jpg,Slip into the nether; increasing movement speed by 100% and becoming immune to damage; but unable to attack. Lasts 6 sec.
DEMONHUNTER,counterCC,Reverse Magic,205604,1,1,0,,0,,Instant,0 yards,1 minute,wow-demon-hunter-reverse-magic.png,wow-demon-hunter-reverse-magic.jpg,Removes all harmful magical effects from yourself and all nearby allies within 10 yards; and sends them back to their original caster if possible.
DEMONHUNTER,offensive,The Hunt,370965,0,0,0,,1,Offensives,1 second,50 yards,1.5 minutes,wow-demon-hunter-the-hunt.png,wow-demon-hunter-the-hunt.jpg,HavocCharge to your target; striking them for (559.35% of Attack power) Chaos damage; rooting them in place for 1.5 sec and inflicting (361.254% of Attack power) Chaos damage over 6 sec to up to 5 enemies in your path. The pursuit invigorates your soul; healing you for 10% of the damage you deal to your Hunt target for 20 sec. VengeanceCharge to your target; striking them for (559.35% of Attack power) Chaos damage; rooting them in place for 1.5 sec and inflicting (361.254% of Attack power) Chaos damage over 6 sec to up to 5 enemies in your path. The pursuit invigorates your soul; healing you for 25% of the damage you deal to your Hunt target for 20 sec.
DRUID,defensive,Barkskin,22812,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-druid-barkskin.png,wow-druid-barkskin.jpg,Your skin becomes as tough as bark; reducing all damage you take by 20% and preventing damage from delaying your spellcasts. Lasts 8 sec.Usable while stunned; frozen; incapacitated; feared; or asleep; and in all shapeshift forms.
DRUID,offensive,Berserk,106951,1,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-berserk.png,wow-druid-berserk.jpg,Go Berserk for 15 sec. While Berserk:Generate 1 combo point every 1.5 sec. Combo point generating abilities generate 1 additional combo points. Finishing moves restore up to 3 combo points generated over the cap.All attack and ability damage is increased by 15%.
DRUID,offensive,Celestial Alignment,194223,1,0,0,,1,Offensives,Instant,40 yards,3 minutes,wow-druid-celestial-alignment.png,wow-druid-celestial-alignment.jpg,Celestial bodies align; maintaining both Eclipses and granting 10% haste for 15 sec.
DRUID,offensive,Feral Frenzy,274837,0,0,0,,1,Offensives,Instant,5 yards,45 seconds,wow-druid-feral-frenzy.png,wow-druid-feral-frenzy.jpg,Unleash a furious frenzy; clawing your target 5 times for [(13.75% of Attack power) * 5] Physical damage and an additional [5 * (27.5% of Attack power) * 6 / 2] Bleed damage over 6 sec.Awards 5 combo points.
DRUID,aoeCC,Incapacitating Roar,99,0,1,1,Crowd Control,0,,Instant,0 yards,30 seconds,wow-druid-incapacitating-roar.png,wow-druid-incapacitating-roar.jpg,Shift into Bear Form and invoke the spirit of Ursol to let loose a deafening roar; incapacitating all enemies within 10 yards for 3 sec. Damage will cancel the effect.
DRUID,offensive,Incarnation: Avatar of Ashamane,102543,1,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-incarnation-avatar-of-ashamane.png,wow-druid-incarnation-avatar-of-ashamane.jpg,An improved Cat Form that grants all of your known Berserk effects and lasts 20 sec. You may shapeshift in and out of this improved Cat Form for its duration. During Incarnation:Energy cost of all Cat Form abilities is reduced by 25%; and Prowl can be used once while in combat.[Berserk: Generate 1 combo point every 1.5 sec. Combo point generating abilities generate 1 additional combo points. Finishing moves restore up to 3 combo points generated over the cap.All attack and ability damage is increased by 15%]
DRUID,offensive,Incarnation: Chosen of Elune,102560,1,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-incarnation-chosen-of-elune.png,wow-druid-incarnation-chosen-of-elune.jpg,An improved Moonkin Form that grants both Eclipses; any learned Celestial Alignment bonuses; and 10% critical strike chance.Lasts 20 sec. You may shapeshift in and out of this improved Moonkin Form for its duration.
DRUID,offensive,Incarnation: Guardian of Ursoc,102558,0,0,0,,1,Offensives,Instant,0 yards,3 minutes,wow-druid-incarnation-guardian-of-ursoc.png,wow-druid-incarnation-guardian-of-ursoc.jpg,An improved Bear Form that grants the benefits of Berserk; causes Mangle to hit up to 3 targets; and increases maximum health by 30%.Lasts 30 sec. You may freely shapeshift in and out of this improved Bear Form for its duration.
DRUID,externalDefensive,Ironbark,102342,1,1,1,Defensives,0,,Instant,40 yards,1.5 minutes,wow-druid-ironbark.png,wow-druid-ironbark.jpg,The target's skin becomes as tough as Ironwood; reducing damage taken by 20% for 12 sec.
DRUID,cc,Mighty Bash,5211,1,1,1,Crowd Control,0,,Instant,5 yards,1 minute,wow-druid-mighty-bash.png,wow-druid-mighty-bash.jpg,Invokes the spirit of Ursoc to stun the target for 4 sec. Usable in all shapeshift forms.
DRUID,dispel,Nature's Cure,88423,0,1,0,,0,,Instant,40 yards,,wow-druid-nature's-cure.png,wow-druid-nature's-cure.jpg,Cures harmful effects on the friendly target; removing all Magic [Improved Nature's Cure: Curse; and Poison] effects.
DRUID,defensive,Nature's Swiftness,132158,0,1,1,Defensives,0,,Instant,0 yards,,wow-druid-nature's-swiftness.png,wow-druid-nature's-swiftness.jpg,Your next Regrowth; Rebirth; or Entangling Roots is instant; free; castable in all forms; and heals for an additional 100%.
DRUID,dispel,Remove Corruption,2782,0,1,0,,0,,Instant,40 yards,8 seconds,wow-druid-remove-corruption.png,wow-druid-remove-corruption.jpg,Nullifies corrupting effects on the friendly target; removing all Curse and Poison effects.
DRUID,heal,Renewal,108238,1,1,0,,0,,Instant,0 yards,1.5 minutes,wow-druid-renewal.png,wow-druid-renewal.jpg,Instantly heals you for 30% of maximum health. Usable in all shapeshift forms.
DRUID,interrupt,Skull Bash,106839,1,1,1,Interrupts,0,,Instant,13 yards,15 seconds,wow-druid-skull-bash.png,wow-druid-skull-bash.jpg,You charge and bash the target's skull; interrupting spellcasting and preventing any spell in that school from being cast for 3 sec.
DRUID,interrupt,Solar Beam,78675,1,1,1,Interrupts,0,,Instant,40 yards,1 minute,wow-druid-solar-beam.png,wow-druid-solar-beam.jpg,Summons a beam of solar light over an enemy target's location; interrupting the target and silencing all enemies within the beam. Lasts 8 sec.
DRUID,defensive,Survival Instincts,61336,1,1,1,Defensives,0,,Instant,0 yards,6 seconds,wow-druid-survival-instincts.png,wow-druid-survival-instincts.jpg,When activated; this ability temporarily grants you 30% of your maximum health for 20 sec while in Bear Form; Cat Form; or Dire Bear Form.  After the effect expires; the health is lost.
DRUID,raidDefensive,Tranquility,740,1,1,0,,0,,Channeled,0 yards,3 minutes,wow-druid-tranquility.png,wow-druid-tranquility.jpg,Heals all allies within 40 yards for [5 * (271.4% of Spell power)] over 8 sec. Each heal heals the target for another (7.912% of Spell power) over 8 sec; stacking.Healing decreased beyond 5 targets.
EVOKER,offensive,Breath of Eons,403631,1,1,0,,0,,Instant,15 - 50 yards,2 minutes,wow-evoker-breath-of-eons.png,wow-evoker-breath-of-eons.jpg,Fly to the targeted location; exposing Temporal Wounds on enemies in your path for 10 sec.Temporal Wounds accumulate 10% of damage dealt by your allies affected by Ebon Might; then critically strike for that amount as Arcane damage.[ Augmentation: Applies Ebon Might for 5 sec]Removes all root effects. You are immune to movement impairing and loss of control effects while flying.
EVOKER,dispel,Cauterizing Flame,374251,1,1,0,,0,,Instant,25 yards,1 minute,wow-evoker-cauterizing-flame.png,wow-evoker-cauterizing-flame.jpg,Cauterize an ally's wounds; removing all Bleed; Poison; Curse; and Disease effects. Heals for (350% of Spell power) upon removing any effect.
EVOKER,offensive,Dragonrage,375087,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-evoker-dragonrage.png,wow-evoker-dragonrage.jpg,Erupt with draconic fury and exhale Pyres at 3 enemies within 25 yds.For 18 sec; Essence Burst's chance to occur is increased to 100% [Tyranny: and you gain the maximum benefit of Mastery: Giantkiller regardless of targets' health].
EVOKER,heal,Emerald Communion,370960,1,1,1,Defensives,1,Offensives,Channeled,0 yards,3 minutes,wow-evoker-emerald-communion.png,wow-evoker-emerald-communion.jpg,Commune with the Emerald Dream; restoring 20% health and 2% mana every 1 sec for 5 sec. Overhealing is transferred to an injured ally within 40 yds.Castable while stunned; disoriented; incapacitated; or silenced.
EVOKER,dispel,Naturalize,360823,0,1,0,,0,,Instant,30 yards,8 seconds,wow-evoker-naturalize.png,wow-evoker-naturalize.jpg,Cleanses harmful effects from the target; removing all Magic and Poison effects.
EVOKER,counterCC,Nullifying Shroud,378464,0,0,0,,1,Offensives,1.5 seconds,0 yards,1.5 minutes,wow-evoker-nullifying-shroud.png,wow-evoker-nullifying-shroud.jpg,Wreathe yourself in arcane energy; preventing the next 3 full loss of control effects against you. Lasts 30 sec.
EVOKER,interrupt,Quell,351338,1,1,1,Interrupts,0,,Instant,25 yards,40 seconds,wow-evoker-quell.png,wow-evoker-quell.jpg,Interrupt an enemy's spellcasting and prevent any spell from that school of magic from being cast for 4 sec.
EVOKER,movement,Rescue,370665,1,1,0,,0,,Instant,30 yards,1 minute,wow-evoker-rescue.png,wow-evoker-rescue.jpg,Swoop to an ally and fly with them to the target location.
EVOKER,raidDefensive,Rewind,363534,1,1,1,Defensives,0,,Instant,40 yards,,wow-evoker-rewind.png,wow-evoker-rewind.jpg,Rewind [Erasure: 16.5% / 33%] of damage taken in the last 5 seconds by all allies within 40 yds. Always heals for at least (Spell power * 0.4 * 5).Healing increased by 100% when not in a raid.
EVOKER,disarm,Swoop Up,370388,1,1,0,,0,,Instant,25 yards,1.5 minutes,wow-evoker-swoop-up.png,wow-evoker-swoop-up.jpg,Grab an enemy and fly with them to the target location.
EVOKER,externalDefensive,Time Dilation,357170,1,1,0,,0,,Instant,30 yards,1 minute,wow-evoker-time-dilation.png,wow-evoker-time-dilation.jpg,Stretch time around an ally for the next 8 sec; causing 50% of damage they would take to instead be dealt over 8 sec.
EVOKER,externalDefensive,Time of Need,368412,1,1,0,,0,,Instant,0 yards,2 minutes,wow-evoker-time-of-need.png,wow-evoker-time-of-need.jpg,When you or an ally fall below 30% health; a version of yourself enters your timeline and heals them for (501.6% of Spell power). Your alternate self continues healing for 8 sec before returning to their timeline.May only occur once every 60 sec.
HUNTER,immunity,Aspect of the Turtle,186265,1,1,1,Defensives,0,,Instant,0 yards,3 minutes,wow-hunter-aspect-of-the-turtle.png,wow-hunter-aspect-of-the-turtle.jpg,Deflects all attacks and reduces all damage you take by 30% for 8 sec; but you cannot attack.
HUNTER,offensive,Bestial Wrath,19574,0,0,0,,1,Offensives,Instant,100 yards,1.5 minutes,wow-hunter-bestial-wrath.png,wow-hunter-bestial-wrath.jpg,Sends you and your pet into a rage; instantly dealing [Attack power * 1.8 * 1 * (1 + Versatility) * 1.08] Physical damage to its target; and increasing all damage you both deal by 25% for 15 sec. Removes all crowd control effects from your pet. [Barbed Wrath: Bestial Wrath's remaining cooldown is reduced by 12 sec each time you use Barbed Shot][Scent of Blood: and activating Bestial Wrath grants 0 charge of Barbed Shot]
HUNTER,offensive,Call of the Wild,359844,1,0,0,,1,Offensives,Instant,40 yards,2 minutes,wow-hunter-call-of-the-wild.png,wow-hunter-call-of-the-wild.jpg,You sound the call of the wild; summoning 2 of your active pets for 20 sec. During this time; a random pet from your stable will appear every 4 sec to assault your target for 6 sec. Each time Call of the Wild summons a pet; the cooldown of Barbed Shot and Kill Command are reduced by 50%.
HUNTER,offensive,Coordinated Assault,360952,1,0,0,,1,Offensives,Instant,40 yards,2 minutes,wow-hunter-coordinated-assault.png,wow-hunter-coordinated-assault.jpg,You and your pet charge your enemy; striking them for a combined [((200% of Attack power)) + ((200% of Attack power) * 0.6)] Physical damage. You and your pet's bond is then strengthened for 20 sec; causing you and your pet to deal 20% increased damage.While Coordinated Assault is active; Kill Command's chance to reset its cooldown is increased by 15%.
HUNTER,interrupt,Counter Shot,147362,1,1,1,Interrupts,0,,Instant,40 yards,24 seconds,wow-hunter-counter-shot.png,wow-hunter-counter-shot.jpg,Interrupts spellcasting; preventing any spell in that school from being cast for 3 sec.
HUNTER,heal,Exhilaration,109304,1,1,1,Defensives,0,,Instant,45 yards,2 minutes,wow-hunter-exhilaration.png,wow-hunter-exhilaration.jpg,Heals you for 30% and your pet for 100% of maximum health.[Natural Mending: Every 10 Focus spent reduces the cooldown of Exhilaration by 1.0 sec][Rejuvenating Wind: Exhilaration heals you for an additional 12.0% of your maximum health over 8 sec]
HUNTER,defensive,Feign Death,5384,0,1,0,,0,,Instant,0 yards,30 seconds,wow-hunter-feign-death.png,wow-hunter-feign-death.jpg,Feign death; tricking enemies into ignoring you. Lasts up to 6 min.
HUNTER,cc,Freezing Trap,187650,1,1,1,Crowd Control,0,,Instant,40 yards,30 seconds,wow-hunter-freezing-trap.png,wow-hunter-freezing-trap.jpg,Hurls a frost trap to the target location that incapacitates the first enemy that approaches for 1 min. Damage will break the effect. Limit 1. Trap will exist for 1 min.
HUNTER,cc,Intimidation,19577,1,1,1,Crowd Control,0,,Instant,100 yards,1 minute,wow-hunter-intimidation.png,wow-hunter-intimidation.jpg,Commands your pet to intimidate the target; stunning it for 5 sec.[Binding Shackles: Targets stunned by Intimidation deal 10% less damage to you for 8 sec after the effect ends]
HUNTER,interrupt,Muzzle,187707,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-hunter-muzzle.png,wow-hunter-muzzle.jpg,Interrupts spellcasting; preventing any spell in that school from being cast for 3 sec.
HUNTER,externalDefensive,Roar of Sacrifice,53480,1,1,0,,0,,Instant,40 yards,1 minute,wow-hunter-roar-of-sacrifice.png,wow-hunter-roar-of-sacrifice.jpg,Protects a friendly target from critical strikes; making attacks against that target unable to be critical strikes; but 20% of all damage taken by that target is also taken by the pet.  Lasts 12 sec.
HUNTER,cc,Scatter Shot,213691,0,1,0,,0,,Instant,20 yards,30 seconds,wow-hunter-scatter-shot.png,wow-hunter-scatter-shot.jpg,A short-range shot that deals (4.4616% of Attack power) damage; removes all harmful damage over time effects; and incapacitates the target for 4 sec.  Any damage caused will remove the effect. Turns off your attack when used.[Binding Shackles: Targets incapacitated by Scatter Shot deal 10% less damage to you for 8 sec after the effect ends]
HUNTER,defensive,Survival of the Fittest,264735,1,1,0,,0,,Instant,50000 yards,,wow-hunter-survival-of-the-fittest.png,wow-hunter-survival-of-the-fittest.jpg,Reduces all damage you and your pet take by 30% for 6 sec.
HUNTER,offensive,Trueshot,288613,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-hunter-trueshot.png,wow-hunter-trueshot.jpg,Reduces the cooldown of your Aimed Shot and Rapid Fire by 70%; and causes Aimed Shot to cast 50% faster and cost 50% less Focus for 15 sec.While Trueshot is active; you generate 50% additional Focus[Unerring Vision: and you gain 1% critical strike chance and 2% increased critical damage dealt every 1 sec; stacking up to 10 times].[Calling the Shots: Every 50 Focus spent reduces the cooldown of Trueshot by 2.5 sec]
MAGE,defensive,Alter Time,342245,1,1,0,,0,,Instant,0 yards,1 minute,wow-mage-alter-time.png,wow-mage-alter-time.jpg,Alters the fabric of time; returning you to your current location and health when cast a second time; or after 10 sec. Effect negated by long distance or death.
MAGE,offensive,Arcane Surge,365350,1,0,0,,1,Offensives,2.5 seconds,40 yards,1.5 minutes,wow-mage-arcane-surge.png,wow-mage-arcane-surge.jpg,Expend all of your current mana to annihilate your enemy target and nearby enemies for up to [(215.74% of Spell power) * 2] Arcane damage based on Mana spent. Deals reduced damage beyond 5 targets. Generates Clearcasting.For the next 15 sec; your Mana regeneration is increased by 425% and spell damage is increased by 35%.
MAGE,defensive,Cauterize,86949,1,1,0,,0,,Instant,0 yards,,wow-mage-cauterize.png,wow-mage-cauterize.jpg,Fatal damage instead brings you to 35% health and then burns you for 28% of your maximum health over 6 sec.While burning; movement slowing effects are suppressed and your movement speed is increased by 150%.This effect cannot occur more than once every 5 min.
MAGE,defensive,Cold Snap,235219,1,1,0,,0,,Instant,0 yards,5 minutes,wow-mage-cold-snap.png,wow-mage-cold-snap.jpg,Resets the cooldown of your Ice Barrier; Frost Nova; Cone of Cold; Ice Cold; and Ice Block.
MAGE,offensive,Combustion,190319,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-mage-combustion.png,wow-mage-combustion.jpg,Engulfs you in flames for 10 sec; increasing your spells' critical strike chance by 100%. Castable while casting other spells.
MAGE,interrupt,Counterspell,2139,1,1,1,Interrupts,0,,Instant,40 yards,24 seconds,wow-mage-counterspell.png,wow-mage-counterspell.jpg,Counters the enemy's spellcast; preventing any spell from that school of magic from being cast for 5 sec.
MAGE,aoeCC,Dragon's Breath,31661,0,1,1,Crowd Control,0,,Instant,0 yards,45 seconds,wow-mage-dragon's-breath.png,wow-mage-dragon's-breath.jpg,Enemies in a cone in front of you take (66.99% of Spell power) Fire damage and are disoriented for 4 sec. Damage will cancel the effect.
MAGE,immunity,Ice Block,45438,1,1,1,Defensives,0,,Instant,0 yards,4 minutes,wow-mage-ice-block.png,wow-mage-ice-block.jpg,Encases you in a block of ice; protecting you from all attacks and damage for 10 sec; but during that time you cannot attack; move; or cast spells.Causes Hypothermia; preventing you from recasting Ice Block for 30 sec.
MAGE,defensive,Ice Cold,414658,1,1,0,,0,,Instant,0 yards,4 minutes,wow-mage-ice-cold.png,wow-mage-ice-cold.jpg,Your blood runs cold; reducing all damage you take by 70% for 6 sec.Causes Hypothermia; preventing you from recasting Ice Cold for 30 sec.
MAGE,offensive,Icy Veins,12472,1,0,0,,1,Offensives,Instant,0 yards,2 minutes,wow-mage-icy-veins.png,wow-mage-icy-veins.jpg,Accelerates your spellcasting for 25 sec; granting 20% haste and preventing damage from delaying your spellcasts.Activating Icy Veins summons a water elemental to your side for its duration. The water elemental's abilities grant you Frigid Empowerment; increasing the Frost damage you deal by 3%; up to 15%.
MAGE,offensive,Presence of Mind,205025,0,0,0,,1,Offensives,Instant,0 yards,45 seconds,wow-mage-presence-of-mind.png,wow-mage-presence-of-mind.jpg,Causes your next 2 Arcane Blasts to be instant cast.
MAGE,dispel,Remove Curse,475,0,1,0,,0,,Instant,40 yards,8 seconds,wow-mage-remove-curse.png,wow-mage-remove-curse.jpg,Removes 1 Curse from a friendly target.
MAGE,aoeCC,Ring of Frost,113724,1,1,0,,0,,2 seconds,30 yards,45 seconds,wow-mage-ring-of-frost.png,wow-mage-ring-of-frost.jpg,Summons a Ring of Frost for 10 sec at the target location. Enemies entering the ring are incapacitated for 10 sec. Limit 10 targets.When the incapacitate expires; enemies are slowed by 65% for 4 sec.
MAGE,cc,Snowdrift,389794,0,0,0,,1,Offensives,Instant,0 yards,45 seconds,wow-mage-snowdrift.png,wow-mage-snowdrift.jpg,Summon a strong Blizzard that surrounds you for 6 sec that slows enemies by 70% and deals (20% of Spell power) Frost damage every 1 sec. Enemies that are caught in Snowdrift for 2 sec consecutively become Frozen in ice; stunned for 4 sec.
MONK,dispel,Detox,115450,0,1,0,,0,,Instant,40 yards,,wow-monk-detox.png,wow-monk-detox.jpg,Removes all Magic effects from the target.
MONK,defensive,Diffuse Magic,122783,1,1,1,Defensives,0,,Instant,0 yards,1.5 minutes,wow-monk-diffuse-magic.png,wow-monk-diffuse-magic.jpg,Reduces magic damage you take by 60% for 6 sec; and transfers all currently active harmful magical effects on you back to their original caster if possible.
MONK,defensive,Invoke Niuzao the Black Ox,132578,0,0,0,,1,Offensives,Instant,40 yards,3 minutes,wow-monk-invoke-niuzao-the-black-ox.png,wow-monk-invoke-niuzao-the-black-ox.jpg,Summons an effigy of Niuzao; the Black Ox for 25 sec. Niuzao attacks your primary target; and frequently Stomps; damaging all nearby enemies[Improved Invoke Niuzao; the Black Ox: for (16.38% of Attack power) plus 0% of Stagger damage you have recently purified / .]While active; 25% of damage delayed by Stagger is instead Staggered by Niuzao.
MONK,aoeCC,Leg Sweep,119381,0,1,1,Crowd Control,0,,Instant,0 yards,1 minute,wow-monk-leg-sweep.png,wow-monk-leg-sweep.jpg,Knocks down all enemies within 6 yards; stunning them for 3 sec.
MONK,externalDefensive,Life Cocoon,116849,1,1,1,Defensives,0,,Instant,40 yards,750 milliseconds,wow-monk-life-cocoon.png,wow-monk-life-cocoon.jpg,Encases the target in a cocoon of Chi energy for 12 sec; absorbing [Total health * 48 / 100 * (1 + Versatility)] damage and increasing all healing over time received by 50%.
MONK,cc,Paralysis,115078,1,1,0,,0,,Instant,20 yards,45 seconds,wow-monk-paralysis.png,wow-monk-paralysis.jpg,Incapacitates the target for 1 min. Limit 1. Damage will cancel the effect.
MONK,raidDefensive,Restoral,388615,1,1,0,,0,,Instant,0 yards,1 second,wow-monk-restoral.png,wow-monk-restoral.jpg,Heals all party and raid members within 40 yds for (1497.07% of Spell power) and clears them of all harmful Poison and Disease effects. Castable while stunned.Healing reduced beyond 5 targets.
MONK,raidDefensive,Revival,115310,1,1,1,Defensives,0,,Instant,0 yards,1 second,wow-monk-revival.png,wow-monk-revival.jpg,Heals all party and raid members within 40 yds for (1497.07% of Spell power) and clears them of 3 harmful Magic; all Poison; and all Disease effects.Healing reduced beyond 5 targets.
MONK,cc,Song of Chi-Ji,198898,1,1,0,,0,,1.8 seconds,40 yards,30 seconds,wow-monk-song-of-chi-ji.png,wow-monk-song-of-chi-ji.jpg,Conjures a cloud of hypnotic mist that slowly travels forward. Enemies touched by the mist fall asleep; Disoriented for 20 sec.
MONK,interrupt,Spear Hand Strike,116705,1,1,1,Interrupts,0,,Instant,5 yards,15 seconds,wow-monk-spear-hand-strike.png,wow-monk-spear-hand-strike.jpg,Jabs the target in the throat; interrupting spellcasting and preventing any spell from that school of magic from being cast for 3 sec.
MONK,offensive,Storm Earth and Fire,137639,1,0,0,,1,Offensives,Instant,0 yards,16 seconds,wow-monk-storm-earth-and-fire.png,wow-monk-storm-earth-and-fire.jpg,Split into 3 elemental spirits for 15 sec; each spirit dealing 40% of normal damage and healing.You directly control the Storm spirit; while Earth and Fire spirits mimic your attacks on nearby enemies.While active; casting Storm; Earth; and Fire again will cause the spirits to fixate on your target.
MONK,freedom,Tiger's Lust,116841,1,1,0,,0,,Instant,20 yards,30 seconds,wow-monk-tiger's-lust.png,wow-monk-tiger's-lust.jpg,Increases a friendly target's movement speed by 70% for 6 sec and removes all roots and snares.
MONK,defensive,Touch of Karma,122470,1,1,1,Defensives,0,,Instant,20 yards,1.5 minutes,wow-monk-touch-of-karma.png,wow-monk-touch-of-karma.jpg,Absorbs all damage taken for 10 sec; up to 50% of your maximum health; and redirects 70% of that amount to the enemy target as Nature damage over 6 sec.
MONK,movement,Transcendence: Transfer,119996,1,1,0,,0,,Instant,40 yards,45 seconds,wow-monk-transcendence-transfer.png,wow-monk-transcendence-transfer.jpg,Your body and spirit swap locations.
